orphacode,Prevalence,Inheritance,Age of onset,Synonym
1134,<1 / 1 000 000,Not applicable,"Antenatal, Neonatal",Isolated nose agenesis
1768,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Rudd-Klimek syndrome
1485,<1 / 1 000 000,Unknown,Neonatal,Johnston-Aarons-Schelley syndrome
2326,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
3331,-, - ,,OBSOLETE: Chitty-Hall-Webb syndrome
1894,-, - ,,Kasznica-Carlson-Coppedge syndrome
1272,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Brachycephaly-hearing loss-cataract-intellectual disability syndrome
1779,Unknown, - ,"Antenatal, Neonatal",
2184,<1 / 1 000 000, - ,Neonatal,Palmer-Pagon syndrome
1101,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Cassia Stocco dos Santos syndrome
3051,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Intellectual disability-sparse hair-brachydactyly syndrome
1530,-, - ,,
1217,<1 / 1 000 000, - ,Neonatal,Hamano-Tsukamoto syndrome
3439,<1 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",DK phocomelia syndrome
1534,-, - ,,OBSOLETE: Imaizumi-Kuroki syndrome
3271,-, - ,,Buntinx-Lormans-Martin syndrome
1655,<1 / 1 000 000,Unknown,"Antenatal, Neonatal",Urioste syndrome
2680,<1 / 1 000 000,Autosomal recessive,Antenatal,
1681,<1 / 1 000 000,No data available,Antenatal,Diprosopia
1114,1-5 / 10 000,"Autosomal dominant, Autosomal recessive, Not applicable","Antenatal, Neonatal",
1849,-, - ,,
2831,<1 / 1 000 000, - ,"Childhood, Infancy",
1383,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Cataract-hearing loss-hypogonadism syndrome
1129,<1 / 1 000 000,Unknown,"Infancy, Neonatal",Kosztolanyi syndrome
3263,-, - ,"Antenatal, Neonatal",
1524,<1 / 1 000 000, - ,"Infancy, Neonatal",
1844,-, - ,,
3206,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",STWS
2729,-, - ,,
1123,<1 / 1 000 000, - ,Neonatal,Caudal appendage-hearing loss syndrome
65,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",Amaurosis congenita of Leber
321,1-9 / 100 000,Autosomal dominant,Childhood,Bessel-Hagen disease
633,1-9 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Complete growth hormone insensitivity
110,-,"Autosomal recessive, Oligogenic","Antenatal, Childhood, Infancy, Neonatal",BBS
144,Unknown,Autosomal dominant,Adult,
478,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, X-linked recessive","Adolescent, Childhood",Congenital hypogonadotropic hypogonadism with anosmia
822,1-5 / 10 000,"Autosomal dominant, Autosomal recessive",All ages,Minkowski-Chauffard disease
669,-, - ,,
766,1-9 / 100 000,Autosomal recessive,"Infancy, Neonatal",Pyruvate kinase deficiency of erythrocytes
279,-, - ,,
229,Unknown, - ,All ages,Annuloaortic ectasia
777,Unknown,X-linked recessive,"Childhood, Infancy",
910,-,Autosomal recessive,All ages,
28,Unknown,Autosomal recessive,Childhood,Adenosylcobalamin deficiency
411,-, - ,,HLP type 1
412,1-5 / 10 000,"Autosomal dominant, Multigenic/multifactorial","Adolescent, Adult, Childhood, Elderly",Remnant hyperlipoproteinemia
1002,-, - ,,NON RARE IN EUROPE: Histaminic cephalalgia
743,Unknown,Autosomal recessive,"Infancy, Neonatal",Autosomal recessive thrombophilia due to congenital protein S deficiency
424,Unknown,Autosomal dominant,All ages,Familial non-immune hyperthyroidism
343,Unknown,Autosomal recessive,Infancy,HIDS
1930,Unknown,"Multigenic/multifactorial, Not applicable",All ages,HSE
325,<1 / 1 000 000,Autosomal recessive,All ages,Dysprothrombinemia
2089,<1 / 1 000 000,Autosomal recessive,Childhood,GSD due to hepatic glycogen synthase deficiency
3324,-, - ,,
572,Unknown,Autosomal recessive,"Infancy, Neonatal",MHC class II deficiency
3325,Unknown,Not applicable,All ages,Classic heparin-associated thrombocytopenia
943,<1 / 1 000 000,Autosomal recessive,Childhood,Malonyl-CoA decarboxylase deficiency
911,Unknown,Autosomal recessive,Childhood,Zeta-associated-protein 70 deficiency
621,Unknown,Autosomal recessive,"Infancy, Neonatal",Autosomal recessive methemoglobinemia
746,Unknown,Autosomal recessive,"Infancy, Neonatal",TFP deficiency
20,Unknown,Autosomal recessive,All ages,3-hydroxy-3-methylglutaryl-CoA lyase deficiency
440,-, - ,,
712,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Glucose-6-phosphate isomerase deficiency
832,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",OXCT1 deficiency
714,-,Autosomal recessive,Infancy,
2056,Unknown,Autosomal recessive,All ages,Fructokinase deficiency
158,-,Autosomal recessive,"Infancy, Neonatal",CDSP
1945,Unknown,Autosomal dominant,Childhood,BRE
6,Unknown,Autosomal recessive,All ages,3-methylcrotonylglycinuria
820,Unknown,"Autosomal dominant, Not applicable",Adult,Ehrmann-Sneddon syndrome
1070,Unknown, - ,"Adolescent, Adult, Childhood, Elderly",
335,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive",All ages,
79,<1 / 1 000 000,Autosomal recessive,Childhood,
331,<1 / 1 000 000,"Autosomal recessive, Not applicable",All ages,Fibrin-stabilizing factor deficiency
1467,Unknown,Not applicable,"Adolescent, Adult, Childhood",
282,1-9 / 100 000,Autosomal dominant,Adult,FTD
707,Unknown, - ,All ages,Yersinia pestis infection
542,1-9 / 100 000, - ,,
2170,<1 / 1 000 000,Autosomal recessive,All ages,Functional methionine synthase deficiency type cblG
414,Unknown,Autosomal recessive,Childhood,HOGA
159,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",CACT deficiency
3124,Unknown,Autosomal recessive,"Infancy, Neonatal",Hyperlysinemia type II
2203,Unknown,Autosomal recessive,All ages,Hyperlysinemia type I
2157,1-9 / 100 000,Autosomal recessive,"Infancy, Neonatal",HAL deficiency
2195,-,Autosomal recessive,"Infancy, Neonatal",Glutamate-aspartate transport defect
2168,-, - ,,Homocarnosinase deficiency
332,<1 / 1 000 000,"Autosomal recessive, Not applicable",Childhood,Congenital pernicious anemia
2967,-, - ,"Adult, Elderly",Haptocorrin deficiency
941,Unknown,Autosomal recessive,All ages,D-glycerate kinase deficiency
2843,Unknown,Autosomal recessive,"Infancy, Neonatal",Essential pentosuria
19,Unknown,"Autosomal dominant, Autosomal recessive",Childhood,2-hydroxyglutaric acidemia
212,1-9 / 100 000,Autosomal recessive,All ages,Cystathionase deficiency
470,Unknown,Autosomal recessive,"Infancy, Neonatal",LPI
34,-, - ,,Hyperpipecolatemia
927,<1 / 1 000 000,Autosomal recessive,All ages,NAGS deficiency
622,<1 / 1 000 000,Autosomal recessive,All ages,Functional methionine synthase deficiency
2880,<1 / 1 000 000,"Autosomal recessive, Mitochondrial inheritance","Infancy, Neonatal",PEPCK deficiency
1032,-, - ,,
1460,-,"Autosomal recessive, Mitochondrial inheritance","Childhood, Infancy, Neonatal",Isolated CoQ-cytochrome C reductase deficiency
3402,-, - ,Neonatal,Transient tyrosinemia of the neonate
1044,-, - ,,
24,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Fumarase deficiency
1561,-,Autosomal recessive,"Infancy, Neonatal",Fatal infantile COX deficiency
745,Unknown,"Autosomal dominant, Autosomal recessive",Neonatal,Autosomal recessive thrombophilia due to congenital protein C deficiency
3208,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Isolated mitochondrial respiratory chain complex II deficiency
851,<1 / 1 000 000, - ,"Infancy, Neonatal",
2942,Unknown,Not applicable,"Adolescent, Adult, Elderly",Postpolio sequelae
2965,1-5 / 10 000,Autosomal dominant,"Adolescent, Adult, Childhood, Elderly",Lactotroph adenoma
849,Unknown,Autosomal recessive,"Infancy, Neonatal",
145,Unknown,Autosomal dominant,"Adult, Elderly",
1578,Unknown,Autosomal recessive,Neonatal,Hyperphenylalaninemia due to dehydratase deficiency
2700,Unknown, - ,Childhood,Cancrum oris
556,Unknown,Unknown,Adult,
1451,Unknown,"Autosomal dominant, Not applicable","Infancy, Neonatal",IOMID syndrome
2778,-, - ,,OBSOLETE: Juvenile CRMO
2330,Unknown,Not applicable,"Infancy, Neonatal",Hemangioma-thrombocytopenia syndrome
2584,Unknown,"Multigenic/multifactorial, Not applicable",Adult,"Mycosis fungoides, Alibert-Bazin type"
538,1-9 / 1 000 000,Not applicable,Adult,LAM
3162,Unknown,"Multigenic/multifactorial, Not applicable",Adult,Sézary lymphoma
179,1-9 / 1 000 000,Unknown,"Adult, Elderly",Birdshot chorioretinitis
2552,Unknown,Not applicable,All ages,
292,Unknown,Not applicable,"Antenatal, Neonatal",Antenatal enterovirus infection
344,-, - ,,
1171,<1 / 1 000 000,"Autosomal dominant, Mitochondrial inheritance","Infancy, Neonatal",Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural deafness syndrome
341,Unknown,Not applicable,All ages,
767,1-9 / 100 000,Not applicable,All ages,Küssmaul-Maier disease
340,1-5 / 10 000,Not applicable,All ages,Hantavirosis
3385,Unknown,Not applicable,All ages,Sleeping sickness
2566,Unknown,Unknown,"Adolescent, Adult, Childhood",Chronic EBV infection syndrome
1560,Unknown,Not applicable,All ages,
566,Unknown,Autosomal dominant,"Infancy, Neonatal",Congenital miosis
1648,-, - ,,NON RARE IN EUROPE: DLB
3260,Unknown,Not applicable,Adult,
2086,Unknown,Not applicable,All ages,
2745,Unknown,X-linked recessive,"Antenatal, Infancy, Neonatal",Hypertelorism-oesophageal abnormality-hypospadias syndrome
980,Unknown,Not applicable,All ages,Unilateral Pulmonary Artery Absence
1207,-, - ,,
1054,Unknown,Unknown,Adult,Sinus of Valsalva aneurysm
982,Unknown,Not applicable,"Infancy, Neonatal",Congenital absence of the pulmonary valve
1081,-, - ,,
1138,-, - ,,
1132,Unknown,Not applicable,Childhood,
1456,<1 / 1 000 000,Not applicable,Childhood,MAC
1463,-, - ,,Cor triatriatum
1686,Unknown,Not applicable,"Infancy, Neonatal",
1864,-, - ,,
2038,Unknown,"Multigenic/multifactorial, Unknown",Infancy,PAVM
2039,-, - ,,
2037,-, - ,,Congenital aortopulmonary artery fistula
2041,Unknown,Not applicable,All ages,
439,Unknown,"Autosomal recessive, Not applicable","Infancy, Neonatal",
422,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, Not applicable",All ages,Idiopathic and/or familial pulmonary arterial hypertension
1457,Unknown,Not applicable,"Infancy, Neonatal",
2447,-, - ,,
3427,<1 / 1 000 000,Not applicable,"Infancy, Neonatal",DOLV
3093,-, - ,"Infancy, Neonatal",
2299,Unknown,Not applicable,"Infancy, Neonatal",
3092,Unknown,No data available,Childhood,
3091,-, - ,,
3188,Unknown,Not applicable,Childhood,
3426,1-5 / 10 000,Multigenic/multifactorial,"Infancy, Neonatal",DORV
3161,-, - ,Neonatal,Congenital bronchopulmonary sequestration
185,Unknown,Not applicable,"Antenatal, Infancy, Neonatal",Congenital pulmonary venolobar syndrome
3190,-, - ,,
3189,Unknown,"Multigenic/multifactorial, Not applicable","Childhood, Infancy, Neonatal",Congenital stenosis of pulmonary valve
860,Unknown,"Multigenic/multifactorial, Not applicable","Infancy, Neonatal",Congenitally uncorrected transposition of the great vessels
1464,Unknown,Not applicable,"Infancy, Neonatal",Double inlet atrioventricular connection
1572,-, - ,,OBSOLETE: CVID
3261,Unknown,"Autosomal dominant, Autosomal recessive",All ages,ALPS
2849,<1 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",Nephroblastomatosis-fetal ascites-macrosomia-Wilms tumor syndrome
2953,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Musculocontractural EDS
3082,<1 / 1 000 000, - ,Neonatal,Kozlowski-Krajewska syndrome
782,1-9 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Axenfeld syndrome
3160,-, - ,,
747,1-9 / 1 000 000,"Multigenic/multifactorial, Not applicable","Adolescent, Adult, Childhood",Autoimmune PAP
3259,<1 / 1 000 000, - ,Neonatal,
3269,Unknown,Unknown,"Childhood, Infancy",Isolated congenital radioulnar fusion
3379,-, - ,Neonatal,Distal trisomy 17q
3400,<1 / 1 000 000,Not applicable,"Infancy, Neonatal",
3309,<1 / 1 000 000, - ,"Antenatal, Neonatal",Isochromosome 5p
3411,<1 / 1 000 000,Unknown,"Antenatal, Infancy, Neonatal",Double uterus and obstructed hemivagina syndrome
995,-, - ,,Holmes-Benacerraf syndrome
3474,<1 / 1 000 000,Autosomal recessive,Childhood,Coloboma-congenital heart disease-ichthyosiform dermatosis-intellectual disability-ear anomalies syndrome
1260,-, - ,,
882,Unknown,Autosomal recessive,All ages,FAH deficiency
903,1-5 / 10 000,"Autosomal dominant, Autosomal recessive",All ages,Hereditary von Willebrand disease
1441,<1 / 1 000 000,"Not applicable, Unknown",Childhood,Ring chromosome 17
1787,<1 / 1 000 000,Unknown,"Infancy, Neonatal",
1863,-, - ,,NON RARE IN EUROPE: Hypoplasia of the femoral trochlea
361,Unknown,Autosomal recessive,"Childhood, Infancy",
2088,Unknown,Autosomal recessive,"Infancy, Neonatal",GSD due to GLUT2 deficiency
3283,Unknown,Unknown,"Infancy, Neonatal",JET
3240,<1 / 1 000 000,Autosomal recessive,No data available,Early onset progressive leukoencephalopathy- central nervous system calcification- hearing loss-visual impairment syndrome
3286,1-5 / 10 000,"Autosomal dominant, Autosomal recessive","Adolescent, Adult, Childhood",Polymorphic ventricular tachycardia induced by catecholamines
599,-,"Autosomal dominant, Autosomal recessive",All ages,Distal muscular dystrophy
67,Unknown,Not applicable,All ages,
1546,Unknown,Not applicable,All ages,
416,1-9 / 1 000 000,Autosomal recessive,All ages,
2023,1-9 / 100 000,Not applicable,"Adolescent, Adult, Childhood, Elderly",UPS
1902,<1 / 1 000 000, - ,All ages,
2737,<1 / 1 000 000,Not applicable,All ages,
2583,Unknown,Not applicable,All ages,Madura foot
2034,Unknown,Not applicable,All ages,
3392,1-9 / 100 000,Not applicable,All ages,
1685,Unknown,Not applicable,All ages,Distomiasis
3343,Unknown,Not applicable,Childhood,
1063,Unknown,"Multigenic/multifactorial, Not applicable",All ages,Nakagawa angioblastoma
2122,Unknown,Not applicable,All ages,
2591,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable","Antenatal, Infancy, Neonatal",
2415,1-5 / 10 000,Not applicable,"Infancy, Neonatal",LM
220,Unknown,Autosomal dominant,"Adolescent, Childhood, Infancy, Neonatal",Wilms tumor-DSD syndrome
5,Unknown,Autosomal recessive,"Infancy, Neonatal",LCHAD deficiency
656,Unknown,"Autosomal dominant, Autosomal recessive","Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Familial idiopathic steroid-resistant nephrotic syndrome
655,Unknown,Autosomal recessive,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",
407,1-9 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",NKA
35,1-9 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Ketotic hyperglycinemia
137,Unknown,"Autosomal recessive, X-linked recessive","Infancy, Neonatal",CDG
663,Unknown,"Mitochondrial inheritance, Not applicable","Adolescent, Adult",Maternally-inherited CPEO
618,Unknown,"Autosomal dominant, Multigenic/multifactorial",Adult,
2968,Unknown,Autosomal recessive,"Childhood, Infancy",LAD
309,-, - ,,
85,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive, X-linked recessive",Childhood,CDA
25,Unknown,Autosomal recessive,"Infancy, Neonatal",GA1
359,Unknown,"Autosomal dominant, Autosomal recessive",Childhood,Hereditary glaucoma
1246,<1 / 1 000 000,Unknown,Infancy,Biemond syndrome
175,Unknown,Autosomal recessive,"Antenatal, Infancy, Neonatal",Autosomal recessive metaphyseal chondrodysplasia
177,Unknown,Autosomal recessive,"Antenatal, Neonatal",RCDP
42,1-9 / 100 000,Autosomal recessive,"Infancy, Neonatal",ACADM deficiency
209,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",,
711,-, - ,,GSD due to phosphoglucomutase deficiency
2364,-, - ,Childhood,GSD due to lactate dehydrogenase deficiency
2066,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",GABA transaminase deficiency
818,Unknown,Autosomal recessive,"Antenatal, Infancy, Neonatal",7-dehydrocholesterol reductase deficiency
1939,-, - ,,OBSOLETE: Envenomization by the Martinique lancehead viper
300,-,Autosomal recessive,Infancy,
2284,-, - ,,
1223,Unknown,Not applicable,All ages,Balantidiosis
519,1-5 / 10 000, - ,All ages,AML
82,1-5 / 10 000,Autosomal dominant,"Adolescent, Adult",Hereditary thrombophilia due to congenital antithrombin 3 deficiency
2194,-, - ,,
3318,1-5 / 10 000,"Multigenic/multifactorial, Not applicable",All ages,ET
405,Unknown,Autosomal dominant,All ages,FBH
913,1-9 / 100 000,Not applicable,"Adult, Elderly",Gastrinoma
2596,-,Mitochondrial inheritance,"Adolescent, Adult, Childhood, Infancy, Neonatal",
2966,-,X-linked recessive,,
347,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",
2841,Unknown,Autosomal dominant,Adult,Benign chronic familial pemphigus
1670,<1 / 1 000 000, - ,Infancy,
2197,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood",
160,Unknown,Not applicable,All ages,Angiofollicular ganglionic hyperplasia
18,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable",All ages,Classic RTA
2611,-, - ,Neonatal,Linear hamartoma syndrome
809,1-9 / 100 000,Multigenic/multifactorial,"Adolescent, Adult, Childhood",MCTD
1309,Unknown,"Autosomal dominant, Not applicable","Adult, Childhood",Cacchi-Ricci disease
2073,1-5 / 10 000,Unknown,"Adolescent, Adult, Childhood",Gélineau disease
1866,1-5 / 10 000,Autosomal dominant,Adult,
441,1-9 / 1 000 000,Not applicable,"Adult, Elderly",Bradbury-Eggleston syndrome
1576,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, Not applicable",All ages,IBSN
751,-, - ,,
256,1-9 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",Dystonia musculorum deformans
1320,Unknown,Not applicable,"Adult, Elderly",Idiopathic camptocormism
1018,Unknown,X-linked dominant,"Adolescent, Adult, Childhood",Xq22.3 microdeletion syndrome
328,1-9 / 1 000 000,Autosomal recessive,All ages,Congenital Stuart factor deficiency
2132,-,Autosomal recessive,All ages,HbCC disease
306,Unknown,Autosomal dominant,"Infancy, Neonatal",BFIE
288,1-5 / 10 000,"Autosomal dominant, Autosomal recessive",All ages,HE
2133,Unknown,Autosomal recessive,All ages,
3203,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",
3202,<1 / 1 000 000,Autosomal dominant,"Antenatal, Neonatal",Hereditary xerocytosis
1544,-, - ,,Adolescent benign focal crisis
2794,-, - ,,
132,1-9 / 100 000,Autosomal recessive,"Infancy, Neonatal",Hereditary pseudocholinesterase deficiency
2781,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive",All ages,
135,Unknown,Autosomal recessive,Childhood,Childhood ataxia with diffuse central nervous system hypomyelination
521,1-9 / 100 000,Not applicable,"Adolescent, Adult, Childhood, Infancy",CML
1333,1-9 / 1 000 000,"Autosomal dominant, Multigenic/multifactorial",Adult,Familial pancreatic cancer
2345,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, Not applicable","Antenatal, Infancy, Neonatal",Congenital cervical vertebral fusion
3280,1-9 / 100 000,Not applicable,All ages,
2478,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",MLC
1172,1-9 / 100 000,Autosomal recessive,All ages,ARCA
2542,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive","Antenatal, Neonatal",Isolated anophthalmia-microphthalmia syndrome
2260,Unknown,Multigenic/multifactorial,All ages,Oligomeganephronic renal hypoplasia
757,Unknown,"Autosomal dominant, Autosomal recessive",All ages,Chloride shunt syndrome
503,1-9 / 1 000 000,Autosomal dominant,"Antenatal, Infancy, Neonatal",
1652,Unknown,X-linked recessive,Childhood,Dent syndrome
223,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive, X-linked recessive","Infancy, Neonatal",Nephrogenic diabetes insipidus
3337,Unknown,"Autosomal dominant, Autosomal recessive","Childhood, Infancy",Primary Fanconi renal syndrome
758,1-9 / 100 000,Autosomal recessive,All ages,Gronblad-Strandberg-Touraine syndrome
419,Unknown,Autosomal recessive,All ages,Proline oxidase deficiency
1501,1-9 / 1 000 000,Not applicable,Childhood,ACC
1957,<1 / 1 000 000,Not applicable,"Adult, Elderly",Olfactory neuroblastoma
2677,-, - ,,
513,1-5 / 10 000, - ,All ages,ALL
2030,Unknown,Not applicable,All ages,
2126,Unknown,Not applicable,All ages,SFT
3148,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly, Infancy",MPNST
3273,Unknown,Not applicable,All ages,Synovialosarcoma
391,1-5 / 10 000,Unknown,All ages,Classic Hodgkin disease
541,Unknown, - ,Adult,Primary cutaneous Ki-1+ T-cell lymphoproliferative disease
543,Unknown,Not applicable,All ages,Small non-cleaved cell lymphoma
301,1-9 / 100 000, - ,All ages,
616,1-9 / 100 000,Not applicable,All ages,
360,1-9 / 100 000,"Multigenic/multifactorial, Not applicable",All ages,GBM
94,1-9 / 100 000, - ,All ages,Astrocytic tumor
668,1-9 / 100 000,Not applicable,Childhood,Osteogenic sarcoma
319,Unknown,Not applicable,All ages,Osseous Ewing sarcoma
876,Unknown,Not applicable,"Adolescent, Adult",Endodermal sinus tumor
842,Unknown,Not applicable,Adult,Testicular seminoma
883,-, - ,,
3398,Unknown,"Autosomal recessive, Not applicable",Adult,TEN
547,1-5 / 10 000, - ,"Adolescent, Adult, Childhood, Elderly, Infancy",NHL
285,1-5 / 10 000,"Autosomal dominant, Autosomal recessive",All ages,EDS-HT
389,1-9 / 100 000,Unknown,All ages,Histiocytosis X
286,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",EDS IV
3399,Unknown, - ,,
1901,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Dermatosparaxis EDS
257,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",EBS-MD
3394,1-5 / 10 000, - ,,Malignant soft tissue tumor
839,Unknown,Autosomal recessive,"Antenatal, Infancy, Neonatal",Finnish congenital nephrosis
452,Unknown,X-linked recessive,Neonatal,X-linked lissencephaly with ambiguous genitalia
1900,Unknown,Autosomal recessive,"Infancy, Neonatal",EDS VIA
1243,Unknown,Autosomal dominant,"Adolescent, Childhood",BMD
1899,Unknown,Autosomal dominant,"Infancy, Neonatal",EDS VII
1083,Unknown,Autosomal recessive,"Infancy, Neonatal",
329,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive",All ages,Hemophilia C
531,Unknown,Autosomal dominant,"Antenatal, Infancy, Neonatal",Lissencephaly due to 17p13.3 deletion
1084,Unknown,Unknown,"Infancy, Neonatal",
823,1-5 / 10 000,"Multigenic/multifactorial, Not applicable","Infancy, Neonatal",Isolated spina bifida
1194,Unknown,Autosomal recessive,"Infancy, Neonatal",Mitochondrial encephalo-cardio-myopathy due to F1Fo ATPase deficiency
1048,1-9 / 1 000 000,"Multigenic/multifactorial, Not applicable","Infancy, Neonatal",
2035,<1 / 1 000 000,Not applicable,All ages,
80,-, - ,,Classic antiphospholipid syndrome
231,Unknown, - ,All ages,Dracunculosis
2394,<1 / 1 000 000,Autosomal recessive,Childhood,DLD deficiency
772,Unknown,Autosomal recessive,All ages,IRD
2404,<1 / 1 000 000,Not applicable,All ages,
2459,Unknown,Not applicable,All ages,Mansonellosis
2356,Unknown,"Autosomal recessive, Not applicable",Childhood,
829,1-9 / 100 000,Not applicable,"Adult, Elderly",AOSD
3096,-, - ,"Adolescent, Adult, Childhood, Infancy",
1183,Unknown,Not applicable,"Childhood, Infancy",Ataxo-opso-myoclonus syndrome
1929,Unknown,Not applicable,Childhood,Rasmussen syndrome
2686,1-9 / 1 000 000,Autosomal dominant,All ages,
2688,Unknown,Not applicable,Adult,Adult chronic idiopathic neutropenia
176,Unknown,"Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive","Infancy, Neonatal",
890,Unknown,Not applicable,All ages,Sinusoidal obstruction syndrome
2689,-, - ,,
2687,-, - ,,
336,-, - ,,
811,1-9 / 1 000 000,Autosomal recessive,"Antenatal, Childhood, Infancy, Neonatal",Pancreatic insufficiency and bone marrow dysfunction
741,-,Autosomal dominant,,
428,Unknown,Autosomal dominant,All ages,AD hypocalcemia
2298,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly",
77,-, - ,,
393,1-9 / 100 000,Autosomal dominant,"Adolescent, Antenatal, Neonatal","46,XX testicular DSD"
2207,Unknown,Autosomal dominant,Childhood,
2637,Unknown,Autosomal recessive,"Antenatal, Infancy, Neonatal",MOPD type II
592,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly",MMF
178,-,"Autosomal dominant, Not applicable",Adult,Notochordal sarcoma
103,-, - ,,
651,-, - ,,NON RARE IN EUROPE: Motor congenital nystagmus
793,Unknown,"Multigenic/multifactorial, Not applicable","Adolescent, Adult, Elderly",Synovitis-acne-pustulosis-hyperostosis-osteitis syndrome
639,-, - ,,Anti-MAG neuropathy
537,Unknown,Not applicable,All ages,Lyell syndrome
662,Unknown, - ,"Adult, Childhood, Neonatal",Yellow nail syndrome
632,-,X-linked recessive,"Infancy, Neonatal",
629,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Kowarski syndrome
248,Unknown,Autosomal recessive,"Infancy, Neonatal",AR-HED
317,Unknown,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",EKV
3437,Unknown,Multigenic/multifactorial,All ages,Uveomenigitic syndrome
1810,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",AD-HED
2032,1-5 / 10 000,Multigenic/multifactorial,Adult,IPF
1303,Unknown,Not applicable,All ages,Constrictive bronchiolitis
3348,Unknown,Unknown,"Adult, Childhood, Elderly",Tracheopathia osteoplastica
225,-, - ,,NON RARE IN EUROPE: Maternally-inherited diabetes and hearing loss
806,<1 / 1 000 000,Autosomal recessive,All ages,
1302,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly",COP
277,1-9 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",ADA deficiency
2902,Unknown,Not applicable,All ages,Chronic eosinophilic pneumonia
891,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive","Infancy, Neonatal",Criswick-Schepens syndrome
413,-, - ,,NON RARE IN EUROPE: Familial hypertriglyceridemia
198,<1 / 1 000 000,X-linked recessive,"Childhood, Infancy, Neonatal",
426,-, - ,,
130,1-5 / 10 000,"Autosomal dominant, Not applicable","Adult, Childhood","Ventricular fibrillation, Brugada type"
3008,Unknown,"Autosomal recessive, Not applicable","Infancy, Neonatal",Ataxia with lactic acidosis type 2
595,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive","Adolescent, Adult, Childhood, Infancy, Neonatal",CNM
854,Unknown,Not applicable,All ages,Non-cirrhotic and non-tumoral portal vein thrombosis
297,Unknown,Not applicable,All ages,TBE
298,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood",MNGIE
396,1-9 / 100 000,Not applicable,All ages,
552,1-5 / 10 000,"Autosomal dominant, Not applicable","Adolescent, Adult, Childhood",Maturity-onset diabetes of the young
302,Unknown,Autosomal recessive,All ages,Lewandowsky-Lutz syndrome
781,Unknown,Not applicable,All ages,Coxiellosis
74,Unknown,Not applicable,All ages,
